date,currency,category,score_precise,coverage
2023-01-25,CHF,growth,-2.0,1
2023-01-25,CHF,inflation,-2.0,1
2023-01-25,CHF,labour,0.0,0
2023-01-26,USD,growth,-0.25,4
2023-01-26,USD,inflation,-0.6666666666666666,3
2023-01-26,USD,labour,0.8333333333333334,6
2023-01-26,EUR,growth,1.0,2
2023-01-26,EUR,inflation,-0.5,2
2023-01-26,EUR,labour,0.0,0
2023-01-26,GBP,growth,0.0,4
2023-01-26,GBP,inflation,-0.6666666666666666,3
2023-01-26,GBP,labour,0.3333333333333333,3
2023-01-26,JPY,growth,0.0,0
2023-01-26,JPY,inflation,0.5,2
2023-01-26,JPY,labour,-2.0,1
2023-01-26,AUD,growth,2.0,1
2023-01-26,AUD,inflation,2.0,2
2023-01-26,AUD,labour,-1.5,2
2023-01-26,NZD,growth,0.0,0
2023-01-26,NZD,inflation,1.0,1
2023-01-26,NZD,labour,0.0,0
2023-01-26,CAD,growth,2.0,1
2023-01-26,CAD,inflation,-0.3333333333333333,3
2023-01-26,CAD,labour,1.5,2
2023-01-26,CHF,growth,-2.0,1
2023-01-26,CHF,inflation,-2.0,1
2023-01-26,CHF,labour,0.0,0
2023-01-27,USD,growth,-0.25,4
2023-01-27,USD,inflation,-0.5,4
2023-01-27,USD,labour,0.8333333333333334,6
2023-01-27,EUR,growth,1.0,2
2023-01-27,EUR,inflation,-0.5,2
2023-01-27,EUR,labour,0.0,0
2023-01-27,GBP,growth,0.0,4
2023-01-27,GBP,inflation,-0.6666666666666666,3
2023-01-27,GBP,labour,0.3333333333333333,3
2023-01-27,JPY,growth,0.0,0
2023-01-27,JPY,inflation,0.5,2
2023-01-27,JPY,labour,-2.0,1
2023-01-27,AUD,growth,2.0,1
2023-01-27,AUD,inflation,0.6666666666666666,3
2023-01-27,AUD,labour,-1.5,2
2023-01-27,NZD,growth,0.0,0
2023-01-27,NZD,inflation,1.0,1
2023-01-27,NZD,labour,0.0,0
2023-01-27,CAD,growth,2.0,1
2023-01-27,CAD,inflation,-0.3333333333333333,3
2023-01-27,CAD,labour,1.5,2
2023-01-27,CHF,growth,-2.0,1
2023-01-27,CHF,inflation,-2.0,1
2023-01-27,CHF,labour,0.0,0
2023-01-28,USD,growth,-0.25,4
2023-01-28,USD,inflation,-0.5,4
2023-01-28,USD,labour,0.8333333333333334,6
2023-01-28,EUR,growth,1.0,2
2023-01-28,EUR,inflation,-0.5,2
2023-01-28,EUR,labour,0.0,0
2023-01-28,GBP,growth,0.0,4
2023-01-28,GBP,inflation,-0.6666666666666666,3
2023-01-28,GBP,labour,0.3333333333333333,3
2023-01-28,JPY,growth,0.0,0
2023-01-28,JPY,inflation,0.5,2
2023-01-28,JPY,labour,-2.0,1
2023-01-28,AUD,growth,2.0,1
2023-01-28,AUD,inflation,0.6666666666666666,3
2023-01-28,AUD,labour,-1.5,2
2023-01-28,NZD,growth,0.0,0
2023-01-28,NZD,inflation,1.0,1
2023-01-28,NZD,labour,0.0,0
2023-01-28,CAD,growth,2.0,1
2023-01-28,CAD,inflation,-0.3333333333333333,3
2023-01-28,CAD,labour,1.5,2
2023-01-28,CHF,growth,-2.0,1
2023-01-28,CHF,inflation,-2.0,1
2023-01-28,CHF,labour,0.0,0
2023-01-29,USD,growth,-0.25,4
2023-01-29,USD,inflation,-0.5,4
2023-01-29,USD,labour,0.8333333333333334,6
2023-01-29,EUR,growth,1.0,2
2023-01-29,EUR,inflation,-0.5,2
2023-01-29,EUR,labour,0.0,0
2023-01-29,GBP,growth,0.0,4
2023-01-29,GBP,inflation,-0.6666666666666666,3
2023-01-29,GBP,labour,0.3333333333333333,3
2023-01-29,JPY,growth,0.0,0
2023-01-29,JPY,inflation,0.5,2
2023-01-29,JPY,labour,-2.0,1
2023-01-29,AUD,growth,2.0,1
2023-01-29,AUD,inflation,0.6666666666666666,3
2023-01-29,AUD,labour,-1.5,2
2023-01-29,NZD,growth,0.0,0
