as_of,variant,symbol,cls,score,bias,r5,r15,r30
2023-05-08,V5.HALF,NZDUSD,fx,1.3749999999999996,Bullish,,,
2023-05-08,V5.HALF,EURGBP,fx,-2.604166666666667,Bearish,,,
2023-05-08,V5.HALF,EURJPY,fx,-1.527777777777778,Bearish,,,
2023-05-08,V5.HALF,EURAUD,fx,-1.527777777777778,Bearish,,,
2023-05-08,V5.HALF,GBPCHF,fx,2.5347222222222223,Bullish,,,
2023-05-08,V5.HALF,GBPNZD,fx,1.7013888888888893,Bullish,,,
2023-05-08,V5.HALF,GBPCAD,fx,1.6319444444444444,Bullish,,,
2023-05-08,V5.HALF,CHFJPY,fx,-1.4583333333333335,Bearish,,,
2023-05-08,V5.HALF,AUDCHF,fx,1.4583333333333335,Bullish,,,
2023-05-08,V5.HALF,DAX,cross-asset,-3.333333333333333,Bearish,,,
2023-05-08,V5.FULL,US-DOLLAR,single,1.851851851851852,Bullish,,,
2023-05-08,V5.FULL,GBPUSD,fx,2.7199074074074074,Bullish,,,
2023-05-08,V5.FULL,USDJPY,fx,-1.8402777777777777,Bearish,,,
2023-05-08,V5.FULL,EURGBP,fx,-2.9166666666666665,Bearish,,,
2023-05-08,V5.FULL,EURJPY,fx,-2.0370370370370368,Bearish,,,
2023-05-08,V5.FULL,EURAUD,fx,-1.4814814814814814,Bearish,,,
2023-05-08,V5.FULL,GBPCHF,fx,3.181216931216931,Very Bullish,,,
2023-05-08,V5.FULL,GBPAUD,fx,1.4351851851851851,Bullish,,,
2023-05-08,V5.FULL,GBPNZD,fx,2.2288359788359786,Bullish,,,
2023-05-08,V5.FULL,GBPCAD,fx,1.62037037037037,Bullish,,,
2023-05-08,V5.FULL,NZDJPY,fx,-1.3492063492063493,Bearish,,,
2023-05-08,V5.FULL,CHFJPY,fx,-2.3015873015873014,Bearish,,,
2023-05-08,V5.FULL,AUDCHF,fx,1.746031746031746,Bullish,,,
